Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m)
2021 05 27 09 33 59.100 99.9410 25.6199 3986
2021 05 27 09 49 21.790 99.9384 25.7415 5495
2021 05 27 09 52 38.020 99.9317 25.7311 2890
2021 05 27 09 56 13.820 99.9600 25.7322 7023
2021 05 27 09 56 47.060 99.9895 25.5874 0266
2021 05 27 10 01 38.960 99.9947 25.5883 5046
2021 05 27 10 04 54.940 99.9879 25.5935 2439
2021 05 27 10 05 54.840 100.0242 25.5390 5965
2021 05 27 10 08 51.170 99.8788 25.6770 1435
2021 05 27 10 10 40.110 99.9356 25.6308 1094
2021 05 27 10 12 20.160 99.8754 25.6775 2779
2021 05 27 10 14 8.130 99.9283 25.6446 4358
2021 05 27 10 16 10.880 99.9023 25.6612 7053
2021 05 27 10 21 6.920 99.9712 25.6091 7595
2021 05 27 10 23 3.140 99.9290 25.6312 5082
2021 05 27 10 23 54.140 99.9243 25.6529 4993
2021 05 27 10 31 45.150 99.9798 25.6006 2836
2021 05 27 10 35 7.840 99.9611 25.5667 4938
2021 05 27 10 39 13.080 99.9290 25.6528 2741
2021 05 27 10 40 23.150 99.9238 25.7318 3272
2021 05 27 10 45 10.000 99.8782 25.6845 6227
2021 05 27 10 51 7.070 99.9459 25.5897 5287
2021 05 27 10 55 4.140 99.9732 25.5642 2123
2021 05 27 11 00 49.120 99.8862 25.7145 1933
2021 05 27 11 04 56.940 99.8951 25.5241 11428
2021 05 27 11 05 52.120 99.8418 25.7149 6259
2021 05 27 11 14 21.000 99.9326 25.7305 3054
2021 05 27 11 15 47.030 99.9942 25.5800 7430
2021 05 27 11 18 0.780 99.8976 25.5877 9534
2021 05 27 11 18 47.940 99.9618 25.6101 5333
2021 05 27 11 19 10.950 99.9503 25.7337 7590
2021 05 27 11 19 50.100 99.9349 25.6361 4878
2021 05 27 11 25 0.070 99.9346 25.6316 4584
2021 05 27 11 25 43.750 99.9499 25.5986 6726
2021 05 27 11 26 53.040 99.9124 25.6703 3383
2021 05 27 11 31 43.860 99.9262 25.6076 9130
2021 05 27 11 34 43.890 99.8712 25.6910 6270
2021 05 27 11 36 51.070 99.9402 25.5909 3859
2021 05 27 11 49 7.150 99.9279 25.6528 5177
2021 05 27 11 50 40.120 99.9400 25.5912 4016
2021 05 27 11 51 14.950 99.8494 25.7012 6646
2021 05 27 11 52 26.960 99.8845 25.6756 6705
2021 05 27 11 54 26.190 99.9357 25.5854 0170
2021 05 27 11 55 34.090 99.9397 25.5917 3860
2021 05 27 12 02 50.030 99.9323 25.6481 4294
2021 05 27 12 12 42.000 99.9390 25.5914 4108
2021 05 27 12 13 27.840 100.0027 25.5720 6184
2021 05 27 12 16 50.960 99.8958 25.6671 5342
2021 05 27 12 19 16.240 99.8828 25.6928 3348
2021 05 27 12 22 19.060 99.9990 25.5568 1469
2021 05 27 12 24 42.090 99.9345 25.6460 5451
2021 05 27 12 30 23.040 99.9409 25.5898 3311
2021 05 27 12 33 22.010 99.9482 25.5536 4875
2021 05 27 12 34 48.030 99.9704 25.5728 5149
2021 05 27 12 38 22.060 99.9551 25.6074 4245
2021 05 27 12 44 4.980 99.9530 25.6456 1301
2021 05 27 12 46 40.080 99.9558 25.6075 4217
2021 05 27 12 48 38.090 99.9706 25.6062 2932
2021 05 27 12 49 9.120 99.8946 25.6785 3099
2021 05 27 13 02 11.930 99.9633 25.5950 5685
2021 05 27 13 03 23.890 99.9534 25.5625 7070
2021 05 27 13 09 48.290 99.9346 25.7321 4327
2021 05 27 13 12 26.840 99.9458 25.5786 4754
2021 05 27 13 13 42.280 99.9335 25.7351 3969
2021 05 27 13 14 8.940 99.8712 25.6945 4011
2021 05 27 13 16 52.940 99.9393 25.5960 5453
2021 05 27 13 18 12.960 99.9472 25.5559 6237
2021 05 27 13 29 29.080 99.9841 25.5956 3639
2021 05 27 13 32 15.970 99.9734 25.6023 3518
2021 05 27 13 36 46.190 99.9352 25.7378 4511
2021 05 27 13 38 27.220 99.9346 25.7373 4133
2021 05 27 13 39 59.890 99.9540 25.5647 7011
2021 05 27 13 41 20.930 99.9496 25.5625 7300
2021 05 27 13 42 5.000 99.9409 25.6214 4149
2021 05 27 13 43 9.010 99.9338 25.7346 3715
2021 05 27 13 45 36.840 99.9681 25.5624 4934
2021 05 27 13 46 18.000 99.9501 25.5615 7136
2021 05 27 13 54 29.980 99.9526 25.5624 7005
2021 05 27 13 56 37.180 99.9010 25.6597 4496
2021 05 27 13 59 19.070 99.9647 25.5698 4665
2021 05 27 14 01 1.050 99.9845 25.5644 4.071000e+03
2021 05 27 14 02 6.790 99.9143 25.6385 6642
2021 05 27 14 03 25.240 99.9412 25.6293 4.039000e+03
2021 05 27 14 04 29.000 100.0050 25.5692 4608
2021 05 27 14 05 6.020 100.0047 25.5689 4569
2021 05 27 14 10 32.010 99.9493 25.5614 7030
2021 05 27 14 11 26.980 99.9915 25.5907 4525
2021 05 27 14 12 20.980 99.9317 25.7346 3377
2021 05 27 14 14 26.920 99.9871 25.5863 5796
2021 05 27 14 17 3.990 99.9348 25.7373 3600
2021 05 27 14 19 53.080 99.9773 25.5913 2542
2021 05 27 14 21 2.100 99.9769 25.5915 2521
2021 05 27 14 25 16.010 99.9517 25.5615 6653
2021 05 27 14 28 10.030 99.9822 25.5652 3752
2021 05 27 14 35 10.960 99.9632 25.5708 4370
2021 05 27 14 37 43.900 99.9682 25.5607 5412
2021 05 27 14 40 36.990 99.9524 25.5619 6637
2021 05 27 14 43 5.040 99.9623 25.6200 0345
2021 05 27 14 43 56.180 99.8827 25.6714 7169
2021 05 27 14 47 40.960 99.9246 25.6063 2141
2021 05 27 14 49 52.030 99.9139 25.6569 1369
2021 05 27 14 50 4.110 99.9132 25.6450 1385
2021 05 27 14 50 49.040 99.9506 25.5610 7136
2021 05 27 14 54 48.940 99.9932 25.5775 7114
2021 05 27 14 56 3.020 99.9930 25.5778 7066
2021 05 27 15 00 32.970 99.9466 25.5585 5840
2021 05 27 15 01 4.100 99.9416 25.6305 4219
2021 05 27 15 04 51.010 99.9512 25.5626 6806
2021 05 27 15 06 6.840 100.0105 25.5650 6481
2021 05 27 15 07 3.940 99.9810 25.5641 3694
2021 05 27 15 09 8.880 99.9148 25.6507 1229
2021 05 27 15 11 22.130 99.9425 25.6204 3541
2021 05 27 15 12 35.930 99.9493 25.5636 6322
2021 05 27 15 13 57.120 99.9431 25.6207 3464
2021 05 27 15 17 46.840 99.8577 25.4901 6471
2021 05 27 15 18 33.940 99.9387 25.5902 4271
2021 05 27 15 19 51.060 99.9484 25.6146 4285
2021 05 27 15 20 46.930 99.9382 25.5964 3895
2021 05 27 15 21 24.970 99.9333 25.7356 3055
2021 05 27 15 22 55.100 99.9478 25.6243 2253
2021 05 27 15 24 51.010 99.9698 25.5743 5433
2021 05 27 15 24 58.990 99.9526 25.5897 5971
2021 05 27 15 27 17.070 99.9441 25.6133 4339
2021 05 27 15 27 42.940 99.9493 25.5610 6869
2021 05 27 15 29 51.120 99.9465 25.6141 4690
2021 05 27 15 34 51.860 99.9400 25.5959 4304
2021 05 27 15 38 52.160 99.9034 25.6588 4.054000e+03
2021 05 27 15 44 33.860 99.9194 25.6329 5622
2021 05 27 15 47 15.940 99.9503 25.5488 4492
2021 05 27 15 48 11.940 100.0447 25.5332 5483
2021 05 27 15 49 15.110 99.8388 25.7603 6545
2021 05 27 15 49 52.920 99.9502 25.5629 7126
2021 05 27 15 50 45.850 100.0397 25.5064 3917
2021 05 27 15 52 43.010 100.0063 25.5728 5655
2021 05 27 15 57 15.950 99.9402 25.6013 4883
2021 05 27 15 59 39.050 99.9525 25.5490 4643
2021 05 27 16 01 33.050 99.9708 25.6053 2989
2021 05 27 16 06 18.120 99.9076 25.6591 2845
2021 05 27 16 14 7.830 99.9532 25.5483 5275
2021 05 27 16 15 7.930 99.9022 25.6468 5932
2021 05 27 16 19 39.150 99.8912 25.6807 3152
2021 05 27 16 21 20.110 99.9413 25.6203 4.084000e+03
2021 05 27 16 22 17.160 99.9077 25.6312 4182
2021 05 27 16 25 20.150 99.8903 25.6804 3033
2021 05 27 16 29 10.940 99.9489 25.6096 4342
2021 05 27 16 29 31.100 99.8773 25.6906 3002
2021 05 27 16 36 28.020 99.9182 25.6468 8240
2021 05 27 16 42 3.930 99.9005 25.6736 2533
2021 05 27 16 43 15.960 99.9452 25.6130 4654
2021 05 27 16 44 44.020 99.8970 25.6225 8071
2021 05 27 16 45 0.030 99.9103 25.6609 1245
2021 05 27 16 46 29.130 99.9360 25.5964 5271
2021 05 27 16 48 32.130 99.9875 25.5969 2977
2021 05 27 16 49 41.080 99.9737 25.6024 2711
2021 05 27 16 50 43.990 100.0114 25.6638 4372
2021 05 27 16 54 19.020 99.9316 25.7300 4318
2021 05 27 16 55 33.920 99.9321 25.7314 4544
2021 05 27 16 59 26.860 99.9887 25.5664 0874
2021 05 27 17 01 1.010 100.0067 25.5686 4694
2021 05 27 17 04 21.990 99.9136 25.5560 8876
2021 05 27 17 06 29.060 99.9358 25.6453 5632
2021 05 27 17 07 27.950 99.9499 25.5603 6790
2021 05 27 17 10 12.180 99.8640 25.6719 6536
2021 05 27 17 14 15.800 99.9771 25.5678 6914
2021 05 27 17 16 21.780 99.8824 25.7211 5231
2021 05 27 17 18 52.920 99.9507 25.5630 6846
2021 05 27 17 23 9.010 99.8946 25.5891 4178
2021 05 27 17 29 0.580 99.8374 25.7574 6072
2021 05 27 17 29 57.980 99.9092 25.6474 7651
2021 05 27 17 32 50.020 99.9716 25.5611 5085
2021 05 27 17 36 6.060 99.9517 25.5859 4720
2021 05 27 17 40 6.060 99.9031 25.6290 8023
2021 05 27 17 41 38.010 100.0210 25.5099 3409
2021 05 27 17 46 44.120 99.9745 25.5743 4659
2021 05 27 17 51 16.900 100.0540 25.5365 7176
2021 05 27 17 54 51.070 99.9496 25.5940 5872
2021 05 27 17 56 32.000 99.9743 25.6066 4416
2021 05 27 18 02 23.980 99.8317 25.7210 3011
2021 05 27 18 07 44.880 100.0213 25.5111 3434
2021 05 27 18 08 43.090 99.9866 25.5896 4363
2021 05 27 18 11 13.970 99.8956 25.6761 -2277
2021 05 27 18 19 9.900 99.8297 25.7167 4494
2021 05 27 18 20 29.060 99.9340 25.6029 5997
2021 05 27 18 21 35.610 99.9674 25.5796 4645
2021 05 27 18 22 32.140 99.9382 25.6276 2008
2021 05 27 18 26 9.050 99.9650 25.5800 6037
2021 05 27 18 28 22.060 99.9198 25.6314 5821
2021 05 27 18 29 17.160 99.9290 25.6514 2900
2021 05 27 18 31 3.990 99.9619 25.6239 0060
2021 05 27 18 36 51.020 99.9336 25.6333 4354
2021 05 27 18 41 13.990 99.9451 25.6241 3737
2021 05 27 18 42 14.030 99.9805 25.5630 3600
2021 05 27 18 42 59.020 99.8426 25.7651 5383
2021 05 27 18 48 13.120 99.9737 25.6102 4818
2021 05 27 18 50 45.960 99.8434 25.7642 5414
2021 05 27 18 53 5.030 99.9379 25.7319 5063
2021 05 27 18 53 56.080 99.9408 25.6417 5494
2021 05 27 18 57 33.070 99.9077 25.6309 4346
2021 05 27 18 58 34.110 99.9702 25.6041 2495
2021 05 27 19 01 10.040 99.9507 25.5844 4774
2021 05 27 19 06 11.100 99.9685 25.5706 5386
2021 05 27 19 06 36.010 99.9577 25.5906 4179
2021 05 27 19 19 4.190 99.8913 25.6640 1743
2021 05 27 19 23 29.950 99.9333 25.7278 3614
2021 05 27 19 31 47.920 99.9490 25.5624 7093
2021 05 27 19 32 24.950 99.8591 25.6863 8269
2021 05 27 19 35 2.030 99.8886 25.6828 3291
2021 05 27 19 39 34.000 99.8965 25.6578 7285
2021 05 27 19 42 23.070 99.9337 25.7366 4228
2021 05 27 19 44 20.910 99.8998 25.5823 5906
2021 05 27 19 50 8.150 99.9369 25.6319 1381
2021 05 27 19 51 4.070 99.9067 25.6708 3367
2021 05 27 19 52 46.880 99.9329 25.7342 3303
2021 05 27 19 54 0.090 99.9524 25.5834 4698
2021 05 27 19 55 8.170 99.9240 25.6531 5266
2021 05 27 19 55 40.070 99.9343 25.7339 3095
2021 05 27 19 56 0.040 99.9327 25.7338 3578
2021 05 27 19 57 19.870 99.9333 25.7363 3275
2021 05 27 19 57 58.140 99.9320 25.7308 2475
2021 05 27 19 59 10.930 99.9507 25.6071 4100
2021 05 27 20 00 24.030 99.9343 25.7330 3347
2021 05 27 20 01 1.070 99.9346 25.7335 3123
2021 05 27 20 02 0.310 99.9345 25.7448 5718
2021 05 27 20 03 23.170 99.9347 25.7394 4486
2021 05 27 20 03 55.010 99.9332 25.7365 3455
2021 05 27 20 05 22.190 99.9335 25.7294 4338
2021 05 27 20 05 48.060 99.9305 25.7350 2749
2021 05 27 20 07 49.030 99.9350 25.7358 4198
2021 05 27 20 08 16.020 99.9382 25.7338 3502
2021 05 27 20 09 8.160 99.9349 25.7313 3465
2021 05 27 20 09 56.010 99.9164 25.6493 16585
2021 05 27 20 10 55.030 99.9314 25.7360 3857
2021 05 27 20 12 7.970 99.9232 25.5972 8.101000e+03
2021 05 27 20 12 32.130 99.9338 25.7286 3561
2021 05 27 20 13 23.170 99.9338 25.7376 3938
2021 05 27 20 13 29.080 99.9786 25.5896 5144
2021 05 27 20 14 57.910 99.9320 25.7306 4666
2021 05 27 20 16 17.120 99.9321 25.7266 3390
