Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m) Magnitude(ML)
2021 05 27 08 26 24 100.0313 25.5083 7157.49 0.2
2021 05 27 08 30 05 99.9438 25.5520 7375.01 0.3
2021 05 27 08 30 42 99.9424 25.6015 784.76 0.1
2021 05 27 08 33 03 99.8937 25.6571 5017.57 0.2
2021 05 27 08 55 50 99.9239 25.6345 5705.40 0.4
2021 05 27 08 56 53 99.9286 25.6474 6693.06 2.3
2021 05 27 09 04 57 99.9419 25.6128 5652.49 0.1
2021 05 27 09 06 52 99.9575 25.5615 6034.62 -0.3
2021 05 27 09 14 03 99.8814 25.6758 4476.71 0.4
2021 05 27 09 16 26 99.9415 25.6172 6328.57 1.9
2021 05 27 09 27 39 99.9330 25.6443 5046.96 2.2
2021 05 27 09 32 47 99.9013 25.6594 6599.00 -0.2
2021 05 27 09 34 01 99.9399 25.6163 6210.99 1.0
2021 05 27 09 49 24 99.9459 25.7273 7933.51 0.2
2021 05 27 09 52 39 99.9275 25.7164 702.45 -0.0
2021 05 27 09 56 15 99.9359 25.7189 4994.05 0.0
2021 05 27 09 56 48 99.9888 25.5818 6163.96 0.4
2021 05 27 10 01 41 99.9796 25.5787 6569.60 0.1
2021 05 27 10 05 56 100.0278 25.5360 7557.26 0.8
2021 05 27 10 07 21 99.9059 25.6635 1454.95 0.0
2021 05 27 10 08 53 99.8808 25.6689 4470.83 1.6
2021 05 27 10 10 41 99.9339 25.6264 5088.12 1.0
2021 05 27 10 12 22 99.8796 25.6697 4082.82 0.8
2021 05 27 10 14 10 99.9295 25.6415 6434.39 1.0
2021 05 27 10 16 13 99.9021 25.6601 7098.70 -0.1
2021 05 27 10 21 09 99.9612 25.5990 7715.99 0.1
2021 05 27 10 23 05 99.9290 25.6289 7854.14 1.2
2021 05 27 10 23 56 99.9237 25.6492 7645.44 0.7
2021 05 27 10 31 47 99.9777 25.5974 5752.43 0.3
2021 05 27 10 35 09 99.9594 25.5589 6258.02 0.2
2021 05 27 10 39 15 99.9264 25.6225 1795.93 0.4
2021 05 27 10 40 25 99.9247 25.7212 4994.05 0.0
2021 05 27 10 42 00 99.9350 25.7220 5405.58 0.1
2021 05 27 10 45 13 99.8823 25.6783 7521.98 -0.0
2021 05 27 10 51 09 100.0259 25.5702 9638.39 0.1
2021 05 27 10 55 06 99.9668 25.5614 4047.55 0.2
2021 05 27 11 00 51 99.9135 25.6849 5217.45 0.1
2021 05 27 10 59 59 99.9777 25.5960 5858.25 -0.0
2021 05 27 11 05 54 99.8562 25.7054 8762.43 0.9
2021 05 27 11 05 24 99.9889 25.5780 8145.15 0.3
2021 05 27 11 14 22 99.9325 25.7232 4747.14 -0.4
2021 05 27 11 15 49 99.9938 25.5801 9197.47 0.8
2021 05 27 11 15 06 99.8692 25.6722 8721.28 0.2
2021 05 27 11 18 49 99.9639 25.6022 7804.17 0.3
2021 05 27 11 18 03 99.9019 25.5871 9603.12 0.2
2021 05 27 11 19 13 99.9250 25.7232 5076.36 -0.3
2021 05 27 11 19 52 99.9308 25.6270 8051.09 -0.2
2021 05 27 11 23 53 99.8402 25.7545 1678.35 0.8
2021 05 27 11 25 45 99.9444 25.5926 6751.85 0.4
2021 05 27 11 25 02 99.9344 25.6274 7186.89 0.2
2021 05 27 11 26 55 99.9130 25.6604 -602.66 0.2
2021 05 27 11 31 46 99.9239 25.6032 10102.82 0.3
2021 05 27 11 32 58 99.9887 25.5941 5969.95 -0.1
2021 05 27 11 34 46 99.8473 25.7042 3159.84 -0.3
2021 05 27 11 36 52 99.9363 25.5871 3891.76 1.1
2021 05 27 11 49 09 99.9315 25.6365 2924.68 0.2
2021 05 27 11 50 41 99.9342 25.5829 4147.49 1.4
2021 05 27 11 51 17 99.8501 25.6966 6675.42 -0.2
2021 05 27 11 52 29 99.8868 25.6688 8303.88 0.3
2021 05 27 11 54 28 99.9013 25.5518 6299.17 -0.1
2021 05 27 11 55 36 99.9341 25.5837 4191.58 0.4
2021 05 27 12 02 52 99.9304 25.6387 5634.86 0.6
2021 05 27 12 12 43 99.9348 25.5869 5511.40 -0.1
2021 05 27 12 13 29 99.9918 25.5666 7128.10 0.3
2021 05 27 12 16 53 99.9239 25.6415 5399.70 0.4
2021 05 27 12 19 18 99.8710 25.6873 4000.52 -0.1
2021 05 27 12 24 43 99.9354 25.6415 7774.78 0.5
2021 05 27 12 30 24 99.9381 25.5856 5070.48 0.1
2021 05 27 12 33 24 99.9433 25.5575 4467.89 0.1
2021 05 27 12 34 50 99.9607 25.5702 5164.54 0.7
2021 05 27 12 38 24 99.9536 25.6035 6543.15 1.5
2021 05 27 12 44 06 99.9538 25.6408 3835.91 0.3
2021 05 27 12 46 42 99.9529 25.6032 6619.57 1.2
2021 05 27 12 48 39 99.9651 25.6007 5396.76 1.4
2021 05 27 12 49 11 99.8735 25.6876 3765.36 -0.1
2021 05 27 13 02 14 99.9603 25.5956 6916.46 0.0
2021 05 27 13 03 26 99.9464 25.5589 7713.05 -0.0
2021 05 27 13 03 54 99.9605 25.6031 9932.34 0.2
2021 05 27 13 07 23 100.0508 25.5443 972.88 -0.5
2021 05 27 13 09 50 99.9400 25.7288 15188.10 0.6
2021 05 27 13 12 28 99.9358 25.5670 4964.66 -0.6
2021 05 27 13 13 44 99.9352 25.7255 6011.11 0.7
2021 05 27 13 14 11 99.8800 25.6822 5822.98 0.4
2021 05 27 13 16 55 99.9344 25.5918 6610.75 0.7
2021 05 27 13 18 14 99.9438 25.5562 7351.50 -0.2
2021 05 27 13 29 31 99.9851 25.5926 6269.78 0.2
2021 05 27 13 32 17 99.9435 25.5817 1466.71 -0.6
2021 05 27 13 36 48 99.9390 25.7144 4382.65 1.9
2021 05 27 13 38 29 99.9358 25.7241 5975.83 0.6
2021 05 27 13 39 17 99.8946 25.6523 514.33 -0.4
2021 05 27 13 40 02 99.9460 25.5593 7704.23 -0.4
2021 05 27 13 41 23 99.9472 25.5573 8421.46 0.4
2021 05 27 13 42 06 99.9377 25.6138 5870.01 0.5
2021 05 27 13 43 10 99.9359 25.7268 6028.74 -0.1
2021 05 27 13 45 39 99.9405 25.5544 1948.78 -0.2
2021 05 27 13 46 20 99.9466 25.5604 8221.57 0.3
2021 05 27 13 54 32 99.9446 25.5569 7416.16 0.3
2021 05 27 13 56 38 99.9025 25.6459 6046.38 0.6
2021 05 27 13 55 38 100.0060 25.5322 6640.15 -0.2
2021 05 27 13 57 01 100.0233 25.5276 3559.60 -0.1
2021 05 27 13 59 20 99.9522 25.5598 4976.42 -0.1
2021 05 27 14 01 03 99.9840 25.5624 6281.54 0.6
2021 05 27 14 02 09 99.9119 25.6210 7704.23 0.1
2021 05 27 14 03 26 99.9353 25.6223 8045.21 0.1
2021 05 27 14 04 31 100.0092 25.5639 6563.72 0.0
2021 05 27 14 05 08 99.9952 25.5660 6352.08 -0.2
2021 05 27 14 10 33 99.9459 25.5614 8051.09 0.1
2021 05 27 14 10 05 99.9582 25.5725 6234.50 -0.1
2021 05 27 14 11 28 99.9438 25.5809 608.39 -0.3
2021 05 27 14 12 23 99.9314 25.7390 5499.64 0.2
2021 05 27 14 12 37 99.9600 25.5560 5931.74 -0.3
2021 05 27 14 14 29 99.9839 25.5730 7251.55 -0.2
2021 05 27 14 17 06 99.9372 25.7223 5182.18 -0.2
2021 05 27 14 19 55 99.9766 25.5883 5276.24 0.8
2021 05 27 14 21 03 99.9724 25.5887 4200.40 0.3
2021 05 27 14 25 18 99.9483 25.5574 7792.41 0.2
2021 05 27 14 28 11 100.0583 25.5386 1513.74 -0.2
2021 05 27 14 35 12 99.9405 25.5589 2513.16 -0.2
2021 05 27 14 37 46 99.9773 25.5660 6393.23 0.2
2021 05 27 14 43 06 99.9604 25.6170 4338.56 0.3
2021 05 27 14 43 58 99.8844 25.6679 7345.62 0.1
2021 05 27 14 47 17 100.0256 25.5340 8462.61 0.1
2021 05 27 14 47 42 99.9251 25.5995 3024.62 -0.1
2021 05 27 14 49 54 99.8997 25.6561 -714.36 0.1
2021 05 27 14 50 04 99.9082 25.6462 3027.56 0.6
2021 05 27 14 50 51 99.9455 25.5613 8083.42 -0.2
2021 05 27 14 54 51 99.9931 25.5793 8844.74 0.3
2021 05 27 14 56 05 99.9916 25.5776 8997.59 1.2
2021 05 27 15 00 34 99.9446 25.5597 7322.10 -0.2
2021 05 27 15 01 06 99.9386 25.6141 -726.12 0.2
2021 05 27 15 01 34 100.0180 25.6741 185.11 -0.2
2021 05 27 15 04 53 99.9473 25.5623 7765.96 0.9
2021 05 27 15 06 09 100.0140 25.5993 596.63 -0.6
2021 05 27 15 07 05 100.0102 25.4822 3242.14 0.2
2021 05 27 15 09 09 99.9125 25.6512 3259.78 -0.2
2021 05 27 15 11 23 99.9418 25.6177 5129.27 0.8
2021 05 27 15 12 38 99.9496 25.5585 7860.02 -0.2
2021 05 27 15 13 58 99.9423 25.6161 6490.24 1.5
2021 05 27 15 17 48 99.8724 25.4914 8409.70 0.3
2021 05 27 15 18 35 99.9341 25.5842 4729.50 -0.3
2021 05 27 15 19 52 99.9467 25.6126 5564.31 0.0
2021 05 27 15 20 48 99.9390 25.5978 843.55 -0.2
2021 05 27 15 21 27 99.9351 25.7333 5076.36 -0.2
2021 05 27 15 22 56 99.9421 25.6152 3965.25 0.5
2021 05 27 15 24 52 99.9725 25.5735 7504.35 0.5
2021 05 27 15 24 13 99.8960 25.6828 8415.58 0.1
2021 05 27 15 25 01 99.9498 25.5879 7251.55 0.2
2021 05 27 15 27 19 99.9424 25.6129 5270.36 0.3
2021 05 27 15 27 45 99.9413 25.5531 7186.89 -0.0
